Title,Directed by,Produced by,Starring,Lead,Cinematography,Production companies,Distributed by,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Ciao America,Frank Ciota,,,,Giulio Pietromarchi,,,,,,,English,,,21559.0,R
City by the Sea,Michael Caton-Jones,"['Don Carmody', 'Andrew Stevens', 'Roger Paradiso', 'Dan Klores']","['Robert De Niro', 'Frances McDormand', 'James Franco', 'Eliza Dushku', 'William Forsythe', 'George Dzundza']",Robert De Niro,Karl Walter Lindenlaub,['Franchise Pictures'],Warner Bros. Pictures,2002-09-06,9.0,104.0,United States,English,40000000.0,,8935426.0,R
City of Ghosts,Matt Dillon,"['Willi Baer', 'Michael Cerenzie', 'Deepak Nayar']","['Matt Dillon', 'James Caan', 'Stellan Skarsgård', 'Natascha McElhone', 'Gérard Depardieu']",Matt Dillon,Jim Denault,['United Artists'],MGM Distribution Co.,2002-09-10,9.0,116.0,United States,English,17500000.0,1300000.0,30547.0,R
Civil Brand,Neema Barnette,Neema Barnette,"['LisaRaye McCoy', 'Lark Voorhies', 'Monica Calhoun', ""N'Bushe Wright"", 'Tichina Arnold', 'Mos Def', 'Da Brat', 'MC Lyte']",LisaRaye McCoy,Yuri Neyman,['Civil Productions'],Lionsgate,2002-05-26,5.0,95.0,United States,English,,,99296.0,R
Clockstoppers,Jonathan Frakes,"['Gale Anne Hurd', 'Julia Pistor']","['Jesse Bradford', 'Paula Garcés', 'French Stewart', 'Michael Biehn', 'Robin Thomas']",Jesse Bradford,Tim Suhrstedt,"['Nickelodeon Movies', 'Valhalla Motion Pictures']",Paramount Pictures,2002-03-29,3.0,94.0,United States,English,26000000.0,38800000.0,10108333.0,PG
The Cockettes,Bill Weber and David Weissman,David Weissman,,,Marsha Kahm,,Strand Releasing,2002-01-16,1.0,100.0,United States,English,,,17118.0,R
Collateral Damage,Andrew Davis,"['Hawk Koch', 'Nicholas Meyer']","['Arnold Schwarzenegger', 'Elias Koteas', 'Francesca Neri', 'Cliff Curtis', 'John Leguizamo', 'John Turturro']",Arnold Schwarzenegger,Adam Greenberg,['Bel-Air Entertainment'],Warner Bros. Pictures,2002-02-04,2.0,109.0,United States,,85000000.0,78400000.0,15058432.0,R
The Crocodile Hunter: Collision Course,John Stainton,"['Judy Bailey', 'Arnold Rifkin', 'John Stainton']","['Steve Irwin', 'Terri Irwin', 'Magda Szubanski', 'David Wenham']",Steve Irwin,David Burr,"['The Best Picture Show Company', 'Cheyenne Enterprises', 'Metro-Goldwyn-Mayer']","['MGM Distribution Co. (US/Canada)', '20th Century Fox (International)']",2002-07-12,7.0,90.0,,English,12000000.0,33400000.0,9537123.0,PG
Comedian,Christian Charles,Gary Streiner,"['Jerry Seinfeld', 'Orny Adams']",Jerry Seinfeld,"['Christian Charles', 'Mark Plumber', 'Gary Streiner']",,Miramax Films,2002-10-11,10.0,81.0,United States,English,,2751988.0,60224.0,Unknown
Confessions of a Dangerous Mind,George Clooney,Andrew Lazar,"['Drew Barrymore', 'George Clooney', 'Julia Roberts', 'Sam Rockwell', 'Rutger Hauer']",Drew Barrymore,Newton Thomas Sigel,"['Mad Chance', 'Section Eight', ""Mel's Cite du Cinema"", 'JVS & Co.']",Miramax Films,2002-12-31,12.0,113.0,United States,English,30000000.0,33100000.0,87199.0,R
